,raw_event_ID,start_time,end_time,player,team,half,start_pos_x,start_pos_y,successful,receiver,end_pos_x,end_pos_y,cross,cross_blocked
0,3,0:00,0:12,10. Jessica Anne Fishlock,OL Reign,1st half,52.5,34.2,1,6. Alexandra Linsley Long Batista,35.5,34.7,0,0
1,5,0:00,0:15,6. Alexandra Linsley Long Batista,OL Reign,1st half,35.5,34.7,1,10. Jessica Anne Fishlock,52.5,34.2,0,0
2,9,0:00,0:20,3. Lauren Kate Barnes,OL Reign,1st half,46.4,56.0,1,15. Megan Anna Rapinoe,64.1,58.2,0,0
3,17,0:05,0:25,15. Megan Anna Rapinoe,OL Reign,1st half,71.8,55.3,1,8. Theresa Eslund,80.4,14.8,0,0
4,23,0:09,0:29,8. Theresa Eslund,OL Reign,1st half,88.6,15.6,0,24. Adrianna Nichole Franch,101.0,33.5,1,0
5,29,0:16,0:36,24. Adrianna Nichole Franch,Portland Thorns,1st half,12.0,28.5,1,9. Caitlin Jade Foord,57.8,33.0,0,0
6,42,0:44,1:04,3. Lauren Kate Barnes,OL Reign,1st half,34.9,47.4,1,4. Megan Leigh Oyster,32.1,13.6,0,0
7,46,0:48,1:08,4. Megan Leigh Oyster,OL Reign,1st half,28.8,15.8,1,1. Lydia Grace Yilkari Williams,18.1,34.5,0,0
8,48,0:51,1:11,1. Lydia Grace Yilkari Williams,OL Reign,1st half,19.3,36.9,1,3. Lauren Kate Barnes,28.1,50.5,0,0
9,52,0:54,1:14,3. Lauren Kate Barnes,OL Reign,1st half,32.3,52.4,1,20. Rumi Utsugi,41.4,47.4,0,0
10,54,0:55,1:15,20. Rumi Utsugi,OL Reign,1st half,41.4,47.4,1,3. Lauren Kate Barnes,33.8,58.9,0,0
11,57,0:59,1:19,3. Lauren Kate Barnes,OL Reign,1st half,38.4,62.7,0,16. Emily Ann Sonnett,91.4,63.2,0,0
12,62,1:10,1:30,15. Megan Anna Rapinoe,OL Reign,1st half,91.6,68.0,1,7. Stephanie-Elise Catley,80.4,65.1,0,0
13,65,1:13,1:33,7. Stephanie-Elise Catley,OL Reign,1st half,81.7,63.5,0,10. Lindsey Michelle Horan,91.6,45.7,1,0
14,71,1:14,1:34,10. Lindsey Michelle Horan,Portland Thorns,1st half,13.4,22.3,0,15. Megan Anna Rapinoe,18.5,5.5,0,0
15,77,1:18,1:38,15. Megan Anna Rapinoe,OL Reign,1st half,85.3,56.3,1,10. Jessica Anne Fishlock,82.7,40.5,0,0
16,87,2:06,2:26,20. Rumi Utsugi,OL Reign,1st half,79.6,36.6,1,7. Stephanie-Elise Catley,89.9,48.4,0,0
17,92,2:07,2:27,7. Stephanie-Elise Catley,OL Reign,1st half,89.9,48.4,0,23. Margaret Purce,91.1,44.3,0,0
18,103,2:12,2:32,3. Lauren Kate Barnes,OL Reign,1st half,56.7,51.7,1,15. Megan Anna Rapinoe,95.6,55.5,0,0
19,106,2:48,3:08,24. Adrianna Nichole Franch,Portland Thorns,1st half,5.2,39.3,0,20. Rumi Utsugi,58.0,56.5,0,0
20,112,2:51,3:11,20. Rumi Utsugi,OL Reign,1st half,47.0,11.5,0,30. Celeste Anais Boureille,57.1,21.1,0,0
